URL,producto_unificado
https://www.musimundo.com/audio-tv-video/televisores/c/57?sort=relevance&q=%3AtopRated#, tv
https://www.musimundo.com/telefonia/telefonos-celulares/c/82?sort=relevance&q=%3AtopRated#, celular
https://www.musimundo.com/informatica/notebook/c/98?sort=relevance&q=%3AtopRated#, notebook
https://www.musimundo.com/climatizacion/aire-acondicionado/c/21?sort=relevance&q=%3AtopRated#, aire acondicionado
https://www.musimundo.com/electrohogar/lavarropas/c/147?sort=relevance&q=%3AtopRated#, lavarropas
https://www.fravega.com/l/tv-y-video/tv/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, tv
https://www.fravega.com/l/informatica/notebooks/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, notebook
https://www.fravega.com/l/camaras-y-video-camaras/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, camara
https://www.fravega.com/l/informatica/impresoras/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, impresora
https://www.fravega.com/l/celulares/celulares-liberados/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, celular
https://www.fravega.com/l/pequenos-electrodomesticos/hogar/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, electrodomestico
https://www.fravega.com/l/cocina/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, cocina
https://www.fravega.com/l/lavado/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, lavarropas
https://www.fravega.com/l/pequenos-electrodomesticos/cocina/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, electrodomestico
https://www.fravega.com/l/herramientas-y-construccion/herramientas/herramientas-electricas/?sorting=TOTAL_SALES_IN_LAST_30_DAYS, herramienta
